municipio,departamento,pobreza,acceso_internet,empleo_tech
Municipio_40,Cesar,37.13529620660997,49.47104978529859,227
Municipio_41,Cesar,34.47617771027019,73.6806986041662,706
Municipio_42,La Guajira,26.133539116782977,61.364197778185314,510
Municipio_43,Magdalena,57.48761297600027,74.20868794969432,952
Municipio_44,Cesar,56.65639493092719,39.92436689077559,642
Municipio_45,Atlántico,51.27833849957864,71.22349754599551,971
Municipio_46,Atlántico,44.653157804307035,55.60865040169451,164
Municipio_47,Magdalena,21.43997745505481,73.71344385301099,250
Municipio_48,La Guajira,46.17295086758017,75.38012353286877,710
Municipio_49,Magdalena,25.19078435658642,53.856676943678906,920
Municipio_50,La Guajira,31.774379005216456,85.51200653164976,743
Municipio_51,Magdalena,42.959,85.658,287
Municipio_52,Magdalena,33.224,60.628,577
Municipio_53,Cesar,42.734,33.85,442
Municipio_54,Cesar,52.112,16,564
Municipio_55,La Guajira,17.66,71.615,762
Municipio_56,Magdalena,32.843,52.397,358
Municipio_57,Cesar,34.289,66.121,722
Municipio_58,Magdalena,49.255,62.76,583
Municipio_59,Atlántico,38.705,66.089,50
Municipio_60,La Guajira,29.848,53.307,775
Municipio_61,Magdalena,63.705,30.203,217
Municipio_62,Magdalena,20.28,67.737,431
Municipio_63,Atlántico,24.298,95,229
Municipio_64,Atlántico,27.291,75.007,410
Municipio_65,Cesar,28.881,68.787,495
Municipio_66,Atlántico,64.024,47.938,477
Municipio_67,Cesar,54.761,59.873,682
Municipio_68,Cesar,29.581,95,753
Municipio_69,Magdalena,31.346,52.043,608
Municipio_70,La Guajira,30.604,44.29,393
Municipio_71,La Guajira,43.201,73.667,533
Municipio_72,Atlántico,51.266,16,209
Municipio_73,Cesar,46.866,16,706
Municipio_74,Atlántico,35.196,46.426,50
Municipio_75,Atlántico,39.934,60.919,686
Municipio_76,Magdalena,37.76,48.259,679
Municipio_77,Atlántico,38.975,90.347,638
Municipio_78,Magdalena,41.023,50.068,510
Municipio_79,Atlántico,40.619,76.341,1140
Municipio_80,Cesar,27.19,47.224,486
Municipio_81,La Guajira,37.002,46.98,894
Municipio_82,Atlántico,46.532,41.518,886
Municipio_83,Magdalena,42.674,83.677,560
Municipio_84,Cesar,26.531,53.548,381
Municipio_85,La Guajira,37.4,73.588,902
Municipio_86,Atlántico,50.115,46.782,617
Municipio_87,La Guajira,31.897,54.643,643
Municipio_88,Cesar,48.329,27.531,209
Municipio_89,Magdalena,40.106,57.782,670
Municipio_90,Cesar,36.608,63.295,764
Municipio_91,La Guajira,30.763,83.947,1210
Municipio_92,Atlántico,29.106,94.911,569
Municipio_93,Cesar,32.009,21.761,377
Municipio_94,La Guajira,42.359,87.415,887
Municipio_95,La Guajira,28.001,40.618,1048
Municipio_96,Atlántico,35.724,44.108,360
Municipio_97,Magdalena,33.933,41.507,824
Municipio_98,Magdalena,37.183,47.709,570
Municipio_99,Magdalena,35.576,46.245,420
Municipio_100,Magdalena,37.509,62.018,50
Municipio_101,La Guajira,28.873,62.067,154
Municipio_102,Magdalena,54.773,59.096,463
Municipio_103,Magdalena,27.885,36.428,426
Municipio_104,Atlántico,23.46,60.577,334
Municipio_105,Cesar,51.677,43.386,747
Municipio_106,La Guajira,20.168,55.318,444
Municipio_107,Atlántico,33.516,32.291,859
Municipio_108,La Guajira,28.143,67.71,357
Municipio_109,Atlántico,39.697,54.273,462
Municipio_110,Atlántico,27.721,64.074,746
Municipio_111,Cesar,41.897,89.267,801
Municipio_112,Magdalena,22.609,79.2,510
Municipio_113,Atlántico,51.027,55.058,390
Municipio_114,Atlántico,18.165,38.907,379
Municipio_115,Cesar,36.107,49.81,793
Municipio_116,Magdalena,43.328,74.427,1069
Municipio_117,Atlántico,39.603,69.23,649
Municipio_118,Atlántico,12.08,93.381,191
Municipio_119,Cesar,34.102,31.297,532
Municipio_120,Atlántico,44.67,58.024,349
Municipio_121,La Guajira,26.698,50.505,594
Municipio_122,Magdalena,29.117,71.455,956
Municipio_123,Cesar,25.459,48.205,628
Municipio_124,Atlántico,44.892,87.289,382
Municipio_125,Magdalena,17.454,80.038,235
Municipio_126,Cesar,36.867,62.194,580
Municipio_127,La Guajira,14.863,90.028,618
Municipio_128,Cesar,40.362,50.602,792
Municipio_129,Magdalena,70,37.286,340
Municipio_130,Cesar,58.716,59.267,777
Municipio_131,Cesar,37.483,43.104,737
Municipio_132,Atlántico,44.282,40.419,187
Municipio_133,Magdalena,45.366,66.864,368
Municipio_134,Magdalena,43.148,31.38,295
Municipio_135,La Guajira,42.789,20.2,433
Municipio_136,Cesar,43.06,74.248,224
Municipio_137,Magdalena,44.755,77.747,252
Municipio_138,Magdalena,12.797,57.809,507
Municipio_139,Cesar,44.488,46.096,416
Municipio_140,Atlántico,38.563,91.977,332
Municipio_141,Magdalena,31.01,88.408,839
Municipio_142,Magdalena,28.315,74.382,616
Municipio_143,Atlántico,45.594,52.058,313
Municipio_144,La Guajira,19.968,89.292,467
Municipio_145,Magdalena,47.872,41.085,577
Municipio_146,Magdalena,61.017,52.136,402
Municipio_147,Atlántico,39.374,81.677,712
Municipio_148,Atlántico,29.375,38.476,690
Municipio_149,Cesar,60.966,31.755,124
Municipio_150,Atlántico,49.325,29.946,540
Municipio_151,Atlántico,37.203,55.511,159
Municipio_152,Magdalena,31.361,95,411
Municipio_153,Magdalena,37.015,64.194,1348
Municipio_154,La Guajira,29.607,64.41,526
Municipio_155,Cesar,30.394,26.318,370
Municipio_156,Magdalena,22.89,95,922
Municipio_157,La Guajira,44.358,37.146,153
Municipio_158,La Guajira,46.268,46.142,475
Municipio_159,Cesar,53.888,42.986,522
Municipio_160,Magdalena,41.223,62.762,385
Municipio_161,Magdalena,30.054,40.736,319
Municipio_162,La Guajira,24.274,68.338,506
Municipio_163,La Guajira,44.935,53.561,574
Municipio_164,Atlántico,28.483,38.768,506
Municipio_165,Magdalena,46.396,43.808,897
Municipio_166,La Guajira,29.54,66.636,485
Municipio_167,Cesar,39.228,58.479,643
Municipio_168,Magdalena,34.159,53.137,1078
Municipio_169,Atlántico,54.673,22.918,329
Municipio_170,La Guajira,35.523,52.484,587
Municipio_171,La Guajira,39.701,64.226,675
Municipio_172,La Guajira,27.936,65.198,655
Municipio_173,Cesar,54.51,50.92,690
Municipio_174,Cesar,45.67,44.11,699
Municipio_175,Magdalena,32.513,62.5,276
Municipio_176,La Guajira,32.526,70.769,602
Municipio_177,Magdalena,45.622,55.479,430
Municipio_178,La Guajira,21.268,41.717,379
Municipio_179,La Guajira,24.305,37.734,483
Municipio_180,Magdalena,60.116,40.038,564
Municipio_181,La Guajira,48.177,50.54,724
Municipio_182,Magdalena,61.464,31.602,366
Municipio_183,Magdalena,13.638,47.438,369
Municipio_184,Atlántico,21.056,90.845,933
Municipio_185,Atlántico,43.927,54.335,785
Municipio_186,Magdalena,31.469,73.868,1305
Municipio_187,Magdalena,51.766,62.588,527
Municipio_188,La Guajira,34.278,95,807
Municipio_189,Cesar,24.545,41.669,417
Municipio_190,La Guajira,23.344,33.339,475
Municipio_191,La Guajira,33.253,51.545,795
Municipio_192,La Guajira,32.23,36.745,333
Municipio_193,Atlántico,31.021,41.244,1125
Municipio_194,Cesar,56.189,30.672,542
Municipio_195,Atlántico,34.69,89.457,445
Municipio_196,La Guajira,24.533,91.516,268
Municipio_197,Atlántico,50.381,74.147,586
Municipio_198,Cesar,48.936,55.46,807
Municipio_199,Atlántico,54.272,30.787,309
Municipio_200,La Guajira,37.762,56.222,824
Municipio_201,Magdalena,41.328,67.043,694
Municipio_202,Atlántico,51.003,58.095,247
Municipio_203,La Guajira,19.99,47.812,330
Municipio_204,La Guajira,31.093,87.726,685
Municipio_205,Atlántico,39.512,56.136,470
Municipio_206,Atlántico,34.868,57.015,435
Municipio_207,La Guajira,37.693,48.463,653
Municipio_208,Cesar,49.11,40.694,572
Municipio_209,Cesar,43.943,40.953,589
Municipio_210,Cesar,37.175,95,1017
Municipio_211,La Guajira,20.529,70.029,936
Municipio_212,Atlántico,37.788,76.738,582
Municipio_213,Magdalena,30.078,42.484,423
Municipio_214,Cesar,47.417,54.526,545
Municipio_215,Magdalena,52.424,44.708,279
Municipio_216,Atlántico,51.523,63.725,454
Municipio_217,La Guajira,29.793,27.531,624
Municipio_218,Cesar,45.099,63.262,342
Municipio_219,La Guajira,27.243,43.292,678
Municipio_220,Magdalena,44.219,85.166,813
Municipio_221,La Guajira,40.738,50.264,465
Municipio_222,Magdalena,24.651,95,231
Municipio_223,Cesar,36.926,64.002,695
Municipio_224,Magdalena,46.256,58.029,708
Municipio_225,Magdalena,66.686,50.135,581
Municipio_226,Magdalena,38.049,33.02,515
Municipio_227,Atlántico,28.311,50.846,228
Municipio_228,La Guajira,14.062,34.521,291
Municipio_229,Magdalena,32.642,65.787,300
Municipio_230,Cesar,40.947,37.184,389
Municipio_231,Magdalena,56.426,38.838,424
Municipio_232,La Guajira,40.002,54.78,560
Municipio_233,Magdalena,47.948,40.596,571
Municipio_234,Atlántico,23.286,95,1356
Municipio_235,Cesar,49.279,76,397
Municipio_236,Magdalena,43.607,86.635,1043
Municipio_237,Magdalena,30.287,35.467,587
Municipio_238,La Guajira,26.319,26.356,545
Municipio_239,La Guajira,41.275,48.082,807
Municipio_240,Cesar,40.056,64.012,523
Municipio_241,Cesar,45.863,39.089,110
Municipio_242,Atlántico,56.094,55.075,961
Municipio_243,La Guajira,29.084,86.108,307
Municipio_244,Atlántico,35.264,52.795,392
Municipio_245,Cesar,47.928,51.633,751
Municipio_246,Atlántico,47.903,69.051,641
Municipio_247,Cesar,36.768,54.569,1170
Municipio_248,Atlántico,43.903,59.759,588
Municipio_249,Magdalena,56.043,44.872,532
Municipio_250,La Guajira,25.773,82.418,579
Municipio_251,Atlántico,49.642,74.51,988
Municipio_252,Magdalena,38.7,67.849,502
Municipio_253,Magdalena,70,54.671,627
Municipio_254,Magdalena,33.016,95,1034
Municipio_255,Atlántico,28.957,86.044,686
Municipio_256,Cesar,52.808,52.495,472
Municipio_257,Atlántico,27.264,83.629,803
Municipio_258,Atlántico,37.766,69.545,269
Municipio_259,Magdalena,53.493,31.435,267
Municipio_260,Atlántico,40.716,43.733,760
Municipio_261,Magdalena,31.931,25.122,449
Municipio_262,Cesar,37.273,82.736,904
Municipio_263,Magdalena,25.991,45.856,449
Municipio_264,Magdalena,44.545,66.662,844
Municipio_265,La Guajira,29.25,95,456
Municipio_266,Cesar,47.781,21.129,305
Municipio_267,Magdalena,24.573,89.079,536
Municipio_268,Atlántico,33.031,31.497,608
Municipio_269,Cesar,47.566,59.821,679
Municipio_270,La Guajira,28.759,51.693,345
Municipio_271,Magdalena,39.835,69.554,502
Municipio_272,Magdalena,22.556,67.803,789
Municipio_273,Atlántico,50.459,40.238,460
Municipio_274,La Guajira,31.458,47.27,383
Municipio_275,Magdalena,41.66,95,714
Municipio_276,Cesar,22.243,88.376,416
Municipio_277,La Guajira,35.754,25.899,279
Municipio_278,Cesar,29.583,90.09,569
Municipio_279,Cesar,44.439,35.147,441
Municipio_280,Atlántico,46.042,53.529,50
Municipio_281,La Guajira,45.994,38.393,540
Municipio_282,Atlántico,42.671,75.426,230
Municipio_283,La Guajira,44.541,59.758,431
Municipio_284,Cesar,66.862,40.503,622
Municipio_285,Magdalena,40.968,78.33,416
Municipio_286,Cesar,35.367,59.43,559
Municipio_287,Atlántico,28.665,49.833,837
Municipio_288,Atlántico,43.11,92.989,922
Municipio_289,Cesar,51.093,63.027,496
Municipio_290,La Guajira,24.45,93.692,974
Municipio_291,La Guajira,43.343,62.422,452
Municipio_292,Atlántico,47.298,31.469,337
Municipio_293,Cesar,32.179,53.459,310
Municipio_294,La Guajira,26.675,29.856,536
Municipio_295,La Guajira,30.322,36.285,418
Municipio_296,La Guajira,37.775,42.112,431
Municipio_297,Atlántico,31.506,80.929,846
Municipio_298,Atlántico,25.047,81.479,429
Municipio_299,Cesar,40.616,52.003,708
Municipio_300,La Guajira,35.778,52.529,621
Municipio_301,Magdalena,51.855,76,917
Municipio_302,Atlántico,34.087,95,191
Municipio_303,Cesar,43.345,58.908,446
Municipio_304,Magdalena,48.838,45.274,50
Municipio_305,Cesar,58.039,23.498,323
Municipio_306,La Guajira,41.985,47.035,581
Municipio_307,La Guajira,31.061,49.758,317
Municipio_308,Magdalena,24.082,87.927,77
Municipio_309,Atlántico,27.447,64.048,191
Municipio_310,La Guajira,21.511,68.385,902
Municipio_311,Magdalena,31.935,87.871,714
Municipio_312,Magdalena,57.673,59.799,434
Municipio_313,Cesar,37.299,43.598,456
Municipio_314,Magdalena,51.718,59.637,301
Municipio_315,Magdalena,22.619,56.813,461
Municipio_316,Magdalena,52.566,40.984,510
Municipio_317,Magdalena,37.956,52.976,741
Municipio_318,Magdalena,43.696,60.699,136
Municipio_319,La Guajira,21.986,67.255,534
Municipio_320,Atlántico,27.544,95,577
Municipio_321,La Guajira,26.193,35.933,564
Municipio_322,Magdalena,49.044,22.009,335
Municipio_323,Atlántico,36.53,60.769,477
Municipio_324,Atlántico,31.891,58.325,587
Municipio_325,Cesar,41.38,34.756,500
Municipio_326,Cesar,43.17,53.911,704
Municipio_327,Atlántico,47.586,42.779,50
Municipio_328,Atlántico,35.376,86.346,1131
Municipio_329,Atlántico,40.903,76.355,1127
Municipio_330,La Guajira,22.11,74.605,1030
Municipio_331,Atlántico,38.917,41.15,1291
Municipio_332,Atlántico,35.033,62.137,50
Municipio_333,Magdalena,46.253,53.382,432
Municipio_334,La Guajira,41.051,44.591,509
Municipio_335,La Guajira,28.318,63.785,442
Municipio_336,Cesar,42.911,20,296
Municipio_337,Magdalena,37.511,78.793,763
Municipio_338,Atlántico,57.222,32.622,386
Municipio_339,Atlántico,59.89,69.313,662
Municipio_340,Atlántico,44.494,95,567
Municipio_341,Cesar,45.296,27.406,594
Municipio_342,Atlántico,37.233,52.048,506
Municipio_343,Atlántico,52.916,52.301,459
Municipio_344,Cesar,44.058,27.451,401
Municipio_345,Atlántico,42.453,87.077,65
Municipio_346,Magdalena,53.374,43.951,443
Municipio_347,La Guajira,33.542,73.251,1338
Municipio_348,Atlántico,25.34,60.289,412
Municipio_349,Cesar,56.874,46.702,398
Municipio_350,La Guajira,41.457,59.446,544
Municipio_351,Atlántico,42.104,43.918,527
Municipio_352,Cesar,43.864,85.863,577
Municipio_353,Magdalena,37.947,57.826,814
Municipio_354,Cesar,44.411,44.782,459
Municipio_355,La Guajira,29.996,50.631,439
Municipio_356,Magdalena,44.976,43.664,725
Municipio_357,Atlántico,28.51,95,1056
Municipio_358,Magdalena,49.452,58.738,1023
Municipio_359,Magdalena,59.569,64.51,330
Municipio_360,Atlántico,15.762,87.4,1494
Municipio_361,La Guajira,24.241,66.113,551
Municipio_362,Magdalena,37.183,63.733,776
Municipio_363,La Guajira,32.771,58.179,381
Municipio_364,Cesar,35.099,82.26,384
Municipio_365,Cesar,33.165,74.171,826
Municipio_366,La Guajira,39.076,57.344,419
Municipio_367,La Guajira,33.969,82.737,777
Municipio_368,Magdalena,21.263,67.002,322
Municipio_369,Magdalena,39.483,53.183,788
Municipio_370,Cesar,45.298,62.518,989
Municipio_371,Atlántico,36.197,68.531,430
Municipio_372,Magdalena,25.536,67.554,697
Municipio_373,Atlántico,37.39,42.709,656
Municipio_374,La Guajira,27.649,29.379,288
Municipio_375,Cesar,61.473,52.12,748
Municipio_376,Atlántico,18.29,73.664,1136
Municipio_377,Magdalena,34.274,53.832,441
Municipio_378,Atlántico,17.152,48.18,50
Municipio_379,Atlántico,13.235,47.956,513
Municipio_380,Cesar,42.491,50.844,903
Municipio_381,La Guajira,25.232,33.893,302
Municipio_382,La Guajira,42.909,48.888,430
Municipio_383,Magdalena,33.628,73.848,560
Municipio_384,Magdalena,19.835,53.864,243
Municipio_385,Magdalena,56.453,76,621
Municipio_386,Cesar,44.418,74.81,636
Municipio_387,Atlántico,36.998,44.199,50
Municipio_388,Cesar,42.876,78.032,919
Municipio_389,Magdalena,41.29,71.519,302
Municipio_390,Cesar,20.27,73.006,822
Municipio_391,Cesar,47.734,35.695,467
Municipio_392,Magdalena,57.798,63.208,756
Municipio_393,Magdalena,54.959,64.569,759
Municipio_394,Magdalena,35.909,86.09,436
Municipio_395,Atlántico,35.073,20,469
Municipio_396,Cesar,33.423,65.689,295
Municipio_397,Atlántico,34.089,89.652,151
Municipio_398,Magdalena,44.447,64.34,311
Municipio_399,Magdalena,62.229,17.825,230
Municipio_400,Magdalena,45.205,54.449,901
Municipio_401,Magdalena,46.755,59.71,625
Municipio_402,Magdalena,57.226,56.239,171
Municipio_403,Magdalena,38.169,47.094,785
Municipio_404,Magdalena,28.912,76.616,575
Municipio_405,Magdalena,39.876,51.064,263
Municipio_406,Magdalena,16.154,72.401,633
Municipio_407,Cesar,54.746,41.831,691
Municipio_408,Atlántico,48.935,50.89,696
Municipio_409,Magdalena,10,43.633,50
Municipio_410,La Guajira,31.979,95,1044
Municipio_411,Atlántico,44.801,32.342,195
Municipio_412,Atlántico,48.221,52.651,347
Municipio_413,Atlántico,25.383,39.511,340
Municipio_414,Magdalena,29.568,43.937,318
Municipio_415,Cesar,43.739,61.926,837
Municipio_416,Cesar,57.514,76,679
Municipio_417,Magdalena,17.71,26.321,207
Municipio_418,Magdalena,51.517,36.007,309
Municipio_419,Cesar,39.845,76.971,1134
Municipio_420,La Guajira,24.345,24,557
Municipio_421,Cesar,49.68,29.914,363
Municipio_422,La Guajira,24.475,79.301,867
Municipio_423,Cesar,47.481,52.6,63
Municipio_424,Atlántico,56.373,33.941,426
Municipio_425,Cesar,30.483,68.953,996
Municipio_426,La Guajira,27.458,95,503
Municipio_427,Magdalena,38.536,51.94,718
Municipio_428,Magdalena,37.944,83.618,255
Municipio_429,Atlántico,38.713,49.309,1186
Municipio_430,Magdalena,49.094,69.389,544
Municipio_431,Magdalena,14.884,84.436,443
Municipio_432,Magdalena,65.932,50.371,198
Municipio_433,La Guajira,34.822,54.692,737
Municipio_434,Cesar,42.987,40.845,258
Municipio_435,La Guajira,34.671,95,764
Municipio_436,La Guajira,39.89,54.24,525
Municipio_437,Magdalena,50.033,66.572,308
Municipio_438,Atlántico,38.521,50.005,618
Municipio_439,Atlántico,40.936,62.262,231
Municipio_440,Atlántico,42.883,84.453,826
Municipio_441,Cesar,48.966,22.82,479
Municipio_442,Cesar,47.289,41.211,652
Municipio_443,Cesar,13.807,32.771,315
Municipio_444,Atlántico,30.754,36.384,722
Municipio_445,Atlántico,38.838,33.192,583
Municipio_446,Cesar,43.013,71.989,642
Municipio_447,Magdalena,33.337,54.655,779
Municipio_448,Magdalena,10,71.062,1080
Municipio_449,Cesar,40.357,71.581,273
Municipio_450,La Guajira,39.277,51.913,841
Municipio_451,Cesar,36.082,35.435,431
Municipio_452,La Guajira,12.214,48.619,588
Municipio_453,La Guajira,38.784,47.154,464
Municipio_454,Atlántico,20.278,58.306,618
Municipio_455,Atlántico,31.376,46.093,609
Municipio_456,Atlántico,43.739,44.249,735
Municipio_457,Magdalena,31.979,54.423,867
Municipio_458,Magdalena,30.022,56.266,1130
Municipio_459,Atlántico,27.446,67.652,324
Municipio_460,Magdalena,54.423,38.174,431
Municipio_461,La Guajira,49.573,35.178,281
Municipio_462,Magdalena,61.848,57.595,683
Municipio_463,Atlántico,44.723,61.742,362
Municipio_464,Magdalena,28.033,94.544,693
Municipio_465,Atlántico,22.136,95,870
Municipio_466,Cesar,47.542,42.116,576
Municipio_467,Atlántico,33.7,77.458,694
Municipio_468,Atlántico,32.685,58.573,423
Municipio_469,Atlántico,64.411,66.99,234
Municipio_470,Atlántico,23.7,65.977,653
Municipio_471,Cesar,27.117,66.733,810
Municipio_472,Atlántico,34.81,95,826
Municipio_473,Magdalena,40.221,70.069,1174
Municipio_474,La Guajira,31.558,65.822,452
Municipio_475,Atlántico,23.661,91.694,736
Municipio_476,La Guajira,42.526,57.672,425
Municipio_477,Atlántico,31.393,77.209,65
Municipio_478,Magdalena,39.262,62.509,424
Municipio_479,Atlántico,17.055,70.644,299
Municipio_480,Magdalena,26.997,41.984,357
Municipio_481,La Guajira,26.581,95,774
Municipio_482,La Guajira,32.466,95,312
Municipio_483,Atlántico,36.738,88.845,599
Municipio_484,Atlántico,18.865,36.404,344
Municipio_485,Atlántico,32.573,71.519,733
Municipio_486,La Guajira,21.263,46.49,560
Municipio_487,Cesar,43.318,75.866,358
Municipio_488,Magdalena,45.525,63.494,667
Municipio_489,Atlántico,56.381,18.517,204
Municipio_490,Magdalena,22.484,57.219,1213
Municipio_491,Atlántico,44.797,43.512,244
Municipio_492,Atlántico,33.453,56.673,919
Municipio_493,Magdalena,35.604,63.486,999
Municipio_494,Atlántico,40.526,71.599,871
Municipio_495,Atlántico,34.118,64.697,432
Municipio_496,La Guajira,32.039,67.335,670
Municipio_497,La Guajira,35.988,49.588,336
Municipio_498,Magdalena,33.361,42.994,625
Municipio_499,Cesar,51.785,49.267,555
Municipio_500,Cesar,40.599,29.598,494
Municipio_501,Magdalena,41.43,33.433,368
Municipio_502,La Guajira,24.369,53.779,300
Municipio_503,Atlántico,47.768,56.88,50
Municipio_504,La Guajira,19.676,64.162,450
Municipio_505,La Guajira,28.935,55.76,634
Municipio_506,Cesar,39.95,63.23,532
Municipio_507,La Guajira,32.513,77.333,631
Municipio_508,La Guajira,20.256,94.527,794
Municipio_509,La Guajira,19.76,95,668
Municipio_510,La Guajira,35.784,63.517,300
Municipio_511,Atlántico,35.117,74.072,373
Municipio_512,Cesar,43.788,75.664,875
Municipio_513,Magdalena,37.74,51.7,191
Municipio_514,Cesar,45.314,47.353,628
Municipio_515,Magdalena,47.068,54.614,577
Municipio_516,La Guajira,40.356,50.609,326
Municipio_517,Cesar,47.224,60.67,348
Municipio_518,Cesar,43.801,95,672
Municipio_519,La Guajira,25.529,39.651,230
Municipio_520,Cesar,41.047,53.715,416
Municipio_521,Atlántico,44.689,69.843,728
Municipio_522,La Guajira,33.965,80.59,333
Municipio_523,Atlántico,48.95,76,859
Municipio_524,Cesar,45.946,45.213,329
Municipio_525,Magdalena,40.912,36.836,291
Municipio_526,Atlántico,45.58,58.048,261
Municipio_527,La Guajira,32.6,52.538,639
Municipio_528,La Guajira,27.739,68.318,556
Municipio_529,Cesar,36.146,59.016,644
Municipio_530,Cesar,40.515,54.478,785
Municipio_531,Atlántico,37.722,76.51,944
Municipio_532,Magdalena,25.944,95,965
Municipio_533,La Guajira,30.577,41.67,428
Municipio_534,Atlántico,50.152,66.191,585
Municipio_535,La Guajira,45.601,26.918,487
Municipio_536,Atlántico,45.461,44.681,885
Municipio_537,La Guajira,19.119,44.084,977
Municipio_538,La Guajira,15.921,51.581,424
Municipio_539,La Guajira,35.336,38.463,441
Municipio_540,Cesar,48.895,61.772,407
Municipio_541,Atlántico,44.654,74.338,1118
Municipio_542,Cesar,25.711,48.029,740
Municipio_543,La Guajira,37.052,70.223,1102
Municipio_544,Atlántico,18.205,85.145,939
Municipio_545,Magdalena,45.203,54.62,833
Municipio_546,La Guajira,26.429,65.646,444
Municipio_547,Cesar,44.091,54.605,750
Municipio_548,Atlántico,31.155,86.621,906
Municipio_549,La Guajira,36.063,38.355,176
Municipio_550,La Guajira,42.583,56.861,561
Municipio_551,Magdalena,27.423,62.527,241
Municipio_552,Magdalena,50.94,46.779,1107
Municipio_553,Cesar,56.454,59.506,425
Municipio_554,La Guajira,49.627,61.026,903
Municipio_555,La Guajira,40.347,49.567,722
Municipio_556,La Guajira,38.016,68.906,556
Municipio_557,Magdalena,29.294,73.071,1067
Municipio_558,La Guajira,30.776,51.704,539
Municipio_559,Magdalena,32.644,64.425,902
Municipio_560,La Guajira,18.943,89.641,658
Municipio_561,Cesar,57.348,26.46,618
Municipio_562,La Guajira,33.214,53.889,625
Municipio_563,La Guajira,33.455,54.889,617
Municipio_564,La Guajira,20.524,36.561,323
Municipio_565,Atlántico,68.389,42.935,245
Municipio_566,Cesar,41.09,61.969,606
Municipio_567,La Guajira,41.915,56.554,650
Municipio_568,Magdalena,58.447,47.46,267
Municipio_569,Magdalena,42.24,35.675,220
Municipio_570,Cesar,65.783,26.121,214
Municipio_571,Magdalena,25.692,80.253,468
Municipio_572,Magdalena,70,35.485,179
Municipio_573,Magdalena,37.179,41.515,682
Municipio_574,La Guajira,21.227,95,164
Municipio_575,La Guajira,37.666,59.869,226
Municipio_576,Magdalena,52.147,29.365,379
Municipio_577,Magdalena,45.647,37.921,405
Municipio_578,Magdalena,36.844,48.424,522
Municipio_579,La Guajira,31.931,53.061,178
Municipio_580,Atlántico,42.377,62.211,926
Municipio_581,La Guajira,39.835,70.101,823
Municipio_582,Magdalena,40.591,52.12,1052
Municipio_583,Magdalena,40.957,39.331,227
Municipio_584,Magdalena,29.107,33.259,106
Municipio_585,Atlántico,42.324,60.559,794
Municipio_586,Magdalena,37.769,55.101,297
Municipio_587,Magdalena,59.013,50.739,620
Municipio_588,Atlántico,44.168,66.939,387
Municipio_589,Cesar,41.825,62.297,540
Municipio_590,Cesar,62.583,61.245,544
Municipio_591,Magdalena,29.547,60.055,226
Municipio_592,La Guajira,24.701,77.431,445
Municipio_593,La Guajira,10,80.373,1199
Municipio_594,Atlántico,26.381,61.266,435
Municipio_595,La Guajira,40.674,80.115,486
Municipio_596,Magdalena,39.4,46.984,155
