departamento,tecnologia,produccion_mwh,fecha,mes,año,trimestre,semana,estacion
La Guajira,Solar,2227,2024-01-14,1,2024,1,2,Invierno
Magdalena,Eólica,1193,2024-01-14,1,2024,1,2,Invierno
Magdalena,Solar,1665,2024-01-14,1,2024,1,2,Invierno
Magdalena,Solar,873,2024-01-14,1,2024,1,2,Invierno
La Guajira,Eólica,1584,2024-01-14,1,2024,1,2,Invierno
La Guajira,Eólica,1506,2024-01-14,1,2024,1,2,Invierno
La Guajira,Eólica,2368,2024-01-14,1,2024,1,2,Invierno
Cesar,Solar,100,2024-01-14,1,2024,1,2,Invierno
Magdalena,Solar,1179,2024-01-14,1,2024,1,2,Invierno
Cesar,Eólica,908,2024-01-14,1,2024,1,2,Invierno
Magdalena,Eólica,1403,2024-01-14,1,2024,1,2,Invierno
La Guajira,Solar,658,2024-01-14,1,2024,1,2,Invierno
Cesar,Solar,1280,2024-01-14,1,2024,1,2,Invierno
Magdalena,Eólica,1102,2024-01-14,1,2024,1,2,Invierno
Cesar,Solar,1122,2024-01-15,1,2024,1,3,Invierno
Magdalena,Eólica,783,2024-01-15,1,2024,1,3,Invierno
Cesar,Solar,100,2024-01-15,1,2024,1,3,Invierno
Atlántico,Solar,369,2024-01-16,1,2024,1,3,Invierno
Cesar,Eólica,1343,2024-01-16,1,2024,1,3,Invierno
Magdalena,Eólica,623,2024-01-16,1,2024,1,3,Invierno
Cesar,Eólica,757,2024-01-16,1,2024,1,3,Invierno
Atlántico,Eólica,2025,2024-01-16,1,2024,1,3,Invierno
Cesar,Solar,3039,2024-01-16,1,2024,1,3,Invierno
Cesar,Eólica,2100,2024-01-16,1,2024,1,3,Invierno
La Guajira,Solar,138,2024-01-16,1,2024,1,3,Invierno
Cesar,Solar,358,2024-01-17,1,2024,1,3,Invierno
Magdalena,Solar,1945,2024-01-17,1,2024,1,3,Invierno
La Guajira,Eólica,1469,2024-01-17,1,2024,1,3,Invierno
Cesar,Eólica,1667,2024-01-17,1,2024,1,3,Invierno
Atlántico,Solar,1183,2024-01-17,1,2024,1,3,Invierno
Magdalena,Eólica,1456,2024-01-17,1,2024,1,3,Invierno
Atlántico,Eólica,2084,2024-01-17,1,2024,1,3,Invierno
Magdalena,Eólica,115,2024-01-18,1,2024,1,3,Invierno
Magdalena,Solar,1251,2024-01-18,1,2024,1,3,Invierno
Cesar,Eólica,906,2024-01-18,1,2024,1,3,Invierno
Atlántico,Solar,605,2024-01-18,1,2024,1,3,Invierno
La Guajira,Eólica,1770,2024-01-19,1,2024,1,3,Invierno
Magdalena,Eólica,1132,2024-01-19,1,2024,1,3,Invierno
Magdalena,Solar,1847,2024-01-19,1,2024,1,3,Invierno
Cesar,Solar,297,2024-01-19,1,2024,1,3,Invierno
Cesar,Solar,1577,2024-01-19,1,2024,1,3,Invierno
La Guajira,Solar,1399,2024-01-20,1,2024,1,3,Invierno
Magdalena,Solar,1445,2024-01-20,1,2024,1,3,Invierno
La Guajira,Solar,1773,2024-01-20,1,2024,1,3,Invierno
Magdalena,Solar,986,2024-01-20,1,2024,1,3,Invierno
Cesar,Solar,1194,2024-01-20,1,2024,1,3,Invierno
Magdalena,Eólica,856,2024-01-20,1,2024,1,3,Invierno
Atlántico,Eólica,1121,2024-01-20,1,2024,1,3,Invierno
Magdalena,Solar,879,2024-01-21,1,2024,1,3,Invierno
La Guajira,Eólica,538,2024-01-21,1,2024,1,3,Invierno
Cesar,Solar,208,2024-01-21,1,2024,1,3,Invierno
Atlántico,Solar,1215,2024-01-21,1,2024,1,3,Invierno
Cesar,Solar,2029,2024-01-22,1,2024,1,4,Invierno
Cesar,Eólica,1017,2024-01-22,1,2024,1,4,Invierno
Magdalena,Eólica,591,2024-01-22,1,2024,1,4,Invierno
Atlántico,Solar,1491,2024-01-22,1,2024,1,4,Invierno
La Guajira,Solar,332,2024-01-22,1,2024,1,4,Invierno
Atlántico,Eólica,1538,2024-01-23,1,2024,1,4,Invierno
Atlántico,Solar,602,2024-01-23,1,2024,1,4,Invierno
Cesar,Eólica,1789,2024-01-23,1,2024,1,4,Invierno
Magdalena,Eólica,1427,2024-01-23,1,2024,1,4,Invierno
Cesar,Solar,1283,2024-01-24,1,2024,1,4,Invierno
La Guajira,Solar,1003,2024-01-24,1,2024,1,4,Invierno
Atlántico,Solar,933,2024-01-24,1,2024,1,4,Invierno
Magdalena,Eólica,1056,2024-01-24,1,2024,1,4,Invierno
Atlántico,Eólica,960,2024-01-25,1,2024,1,4,Invierno
Cesar,Eólica,270,2024-01-25,1,2024,1,4,Invierno
La Guajira,Solar,1926,2024-01-25,1,2024,1,4,Invierno
Atlántico,Eólica,1785,2024-01-25,1,2024,1,4,Invierno
Atlántico,Solar,1349,2024-01-25,1,2024,1,4,Invierno
Cesar,Eólica,1581,2024-01-25,1,2024,1,4,Invierno
Magdalena,Eólica,1427,2024-01-25,1,2024,1,4,Invierno
Cesar,Solar,1743,2024-01-25,1,2024,1,4,Invierno
Atlántico,Solar,1396,2024-01-25,1,2024,1,4,Invierno
Cesar,Solar,233,2024-01-25,1,2024,1,4,Invierno
Atlántico,Eólica,1306,2024-01-26,1,2024,1,4,Invierno
Atlántico,Eólica,1107,2024-01-26,1,2024,1,4,Invierno
Atlántico,Solar,848,2024-01-26,1,2024,1,4,Invierno
Magdalena,Eólica,904,2024-01-26,1,2024,1,4,Invierno
Magdalena,Eólica,1977,2024-01-26,1,2024,1,4,Invierno
Magdalena,Eólica,647,2024-01-26,1,2024,1,4,Invierno
La Guajira,Eólica,2255,2024-01-26,1,2024,1,4,Invierno
Atlántico,Eólica,1535,2024-01-26,1,2024,1,4,Invierno
Atlántico,Solar,525,2024-01-26,1,2024,1,4,Invierno
Magdalena,Solar,1454,2024-01-26,1,2024,1,4,Invierno
Magdalena,Solar,1861,2024-01-27,1,2024,1,4,Invierno
Cesar,Eólica,1709,2024-01-27,1,2024,1,4,Invierno
Atlántico,Solar,1014,2024-01-27,1,2024,1,4,Invierno
La Guajira,Solar,1465,2024-01-27,1,2024,1,4,Invierno
La Guajira,Eólica,948,2024-01-27,1,2024,1,4,Invierno
Magdalena,Solar,709,2024-01-27,1,2024,1,4,Invierno
Magdalena,Eólica,902,2024-01-28,1,2024,1,4,Invierno
Magdalena,Eólica,1556,2024-01-28,1,2024,1,4,Invierno
Atlántico,Eólica,2093,2024-01-28,1,2024,1,4,Invierno
Magdalena,Eólica,2249,2024-01-28,1,2024,1,4,Invierno
Magdalena,Solar,987,2024-01-28,1,2024,1,4,Invierno
La Guajira,Solar,280,2024-01-28,1,2024,1,4,Invierno
Atlántico,Eólica,1227,2024-01-28,1,2024,1,4,Invierno
La Guajira,Solar,2155,2024-01-28,1,2024,1,4,Invierno
La Guajira,Eólica,1117,2024-01-29,1,2024,1,5,Invierno
Magdalena,Eólica,1839,2024-01-29,1,2024,1,5,Invierno
Magdalena,Eólica,1103,2024-01-29,1,2024,1,5,Invierno
Cesar,Eólica,515,2024-01-29,1,2024,1,5,Invierno
Cesar,Solar,1282,2024-01-29,1,2024,1,5,Invierno
La Guajira,Solar,962,2024-01-30,1,2024,1,5,Invierno
Atlántico,Eólica,895,2024-01-30,1,2024,1,5,Invierno
Cesar,Eólica,583,2024-01-30,1,2024,1,5,Invierno
La Guajira,Eólica,1567,2024-01-30,1,2024,1,5,Invierno
La Guajira,Solar,1678,2024-01-30,1,2024,1,5,Invierno
Atlántico,Solar,1306,2024-01-30,1,2024,1,5,Invierno
La Guajira,Eólica,1552,2024-01-30,1,2024,1,5,Invierno
Magdalena,Eólica,889,2024-01-30,1,2024,1,5,Invierno
Atlántico,Solar,1170,2024-01-30,1,2024,1,5,Invierno
Magdalena,Eólica,918,2024-01-30,1,2024,1,5,Invierno
La Guajira,Solar,2177,2024-01-31,1,2024,1,5,Invierno
Atlántico,Eólica,371,2024-01-31,1,2024,1,5,Invierno
Atlántico,Eólica,1756,2024-01-31,1,2024,1,5,Invierno
Magdalena,Solar,1106,2024-01-31,1,2024,1,5,Invierno
La Guajira,Solar,1400,2024-01-31,1,2024,1,5,Invierno
La Guajira,Eólica,935,2024-01-31,1,2024,1,5,Invierno
Atlántico,Eólica,362,2024-01-31,1,2024,1,5,Invierno
Cesar,Eólica,1646,2024-02-01,2,2024,1,5,Invierno
La Guajira,Solar,1313,2024-02-01,2,2024,1,5,Invierno
Atlántico,Solar,1908,2024-02-01,2,2024,1,5,Invierno
Cesar,Eólica,649,2024-02-01,2,2024,1,5,Invierno
Magdalena,Solar,1236,2024-02-01,2,2024,1,5,Invierno
Cesar,Eólica,1850,2024-02-01,2,2024,1,5,Invierno
Cesar,Eólica,1197,2024-02-02,2,2024,1,5,Invierno
Atlántico,Eólica,1288,2024-02-02,2,2024,1,5,Invierno
Atlántico,Eólica,588,2024-02-02,2,2024,1,5,Invierno
Cesar,Solar,660,2024-02-02,2,2024,1,5,Invierno
Atlántico,Solar,1358,2024-02-03,2,2024,1,5,Invierno
La Guajira,Solar,1572,2024-02-03,2,2024,1,5,Invierno
Atlántico,Eólica,1218,2024-02-03,2,2024,1,5,Invierno
La Guajira,Solar,1680,2024-02-04,2,2024,1,5,Invierno
Magdalena,Solar,1341,2024-02-04,2,2024,1,5,Invierno
Atlántico,Eólica,1287,2024-02-04,2,2024,1,5,Invierno
La Guajira,Eólica,2261,2024-02-04,2,2024,1,5,Invierno
Cesar,Solar,867,2024-02-04,2,2024,1,5,Invierno
La Guajira,Solar,902,2024-02-04,2,2024,1,5,Invierno
Magdalena,Solar,2140,2024-02-04,2,2024,1,5,Invierno
Cesar,Solar,1016,2024-02-04,2,2024,1,5,Invierno
Cesar,Solar,1163,2024-02-04,2,2024,1,5,Invierno
Cesar,Solar,1488,2024-02-04,2,2024,1,5,Invierno
Magdalena,Eólica,884,2024-02-05,2,2024,1,6,Invierno
Magdalena,Eólica,820,2024-02-06,2,2024,1,6,Invierno
La Guajira,Eólica,2095,2024-02-06,2,2024,1,6,Invierno
Atlántico,Eólica,2750,2024-02-06,2,2024,1,6,Invierno
Magdalena,Eólica,952,2024-02-06,2,2024,1,6,Invierno
La Guajira,Eólica,2129,2024-02-06,2,2024,1,6,Invierno
Magdalena,Eólica,1557,2024-02-06,2,2024,1,6,Invierno
Atlántico,Solar,1666,2024-02-06,2,2024,1,6,Invierno
Atlántico,Solar,1988,2024-02-07,2,2024,1,6,Invierno
Atlántico,Solar,1552,2024-02-07,2,2024,1,6,Invierno
Cesar,Solar,2176,2024-02-07,2,2024,1,6,Invierno
Atlántico,Eólica,1320,2024-02-07,2,2024,1,6,Invierno
La Guajira,Eólica,2808,2024-02-07,2,2024,1,6,Invierno
Atlántico,Eólica,1056,2024-02-07,2,2024,1,6,Invierno
Cesar,Solar,100,2024-02-07,2,2024,1,6,Invierno
Atlántico,Solar,966,2024-02-08,2,2024,1,6,Invierno
Magdalena,Eólica,827,2024-02-08,2,2024,1,6,Invierno
Cesar,Solar,246,2024-02-08,2,2024,1,6,Invierno
Cesar,Eólica,1298,2024-02-08,2,2024,1,6,Invierno
Atlántico,Eólica,1655,2024-02-08,2,2024,1,6,Invierno
La Guajira,Eólica,1620,2024-02-08,2,2024,1,6,Invierno
Atlántico,Eólica,1611,2024-02-08,2,2024,1,6,Invierno
Magdalena,Eólica,374,2024-02-08,2,2024,1,6,Invierno
Magdalena,Eólica,1619,2024-02-08,2,2024,1,6,Invierno
Cesar,Eólica,1485,2024-02-09,2,2024,1,6,Invierno
La Guajira,Eólica,1815,2024-02-09,2,2024,1,6,Invierno
La Guajira,Eólica,2424,2024-02-09,2,2024,1,6,Invierno
Magdalena,Solar,1491,2024-02-09,2,2024,1,6,Invierno
La Guajira,Solar,100,2024-02-09,2,2024,1,6,Invierno
Cesar,Solar,807,2024-02-10,2,2024,1,6,Invierno
Magdalena,Solar,1837,2024-02-10,2,2024,1,6,Invierno
Cesar,Eólica,1608,2024-02-10,2,2024,1,6,Invierno
Magdalena,Solar,1271,2024-02-10,2,2024,1,6,Invierno
Magdalena,Eólica,1313,2024-02-10,2,2024,1,6,Invierno
Atlántico,Solar,832,2024-02-10,2,2024,1,6,Invierno
Atlántico,Eólica,2079,2024-02-10,2,2024,1,6,Invierno
Atlántico,Solar,2847,2024-02-11,2,2024,1,6,Invierno
Atlántico,Eólica,1176,2024-02-11,2,2024,1,6,Invierno
La Guajira,Eólica,884,2024-02-11,2,2024,1,6,Invierno
Magdalena,Solar,1843,2024-02-11,2,2024,1,6,Invierno
Atlántico,Solar,1718,2024-02-11,2,2024,1,6,Invierno
La Guajira,Eólica,876,2024-02-11,2,2024,1,6,Invierno
Cesar,Solar,1033,2024-02-11,2,2024,1,6,Invierno
Cesar,Eólica,1415,2024-02-11,2,2024,1,6,Invierno
Atlántico,Eólica,1983,2024-02-11,2,2024,1,6,Invierno
La Guajira,Eólica,1848,2024-02-12,2,2024,1,7,Invierno
Magdalena,Eólica,967,2024-02-12,2,2024,1,7,Invierno
Cesar,Eólica,323,2024-02-12,2,2024,1,7,Invierno
Atlántico,Solar,100,2024-02-12,2,2024,1,7,Invierno
La Guajira,Solar,1489,2024-02-12,2,2024,1,7,Invierno
Cesar,Eólica,2647,2024-02-12,2,2024,1,7,Invierno
La Guajira,Solar,2355,2024-02-12,2,2024,1,7,Invierno
Cesar,Solar,100,2024-02-12,2,2024,1,7,Invierno
Cesar,Solar,1412,2024-02-12,2,2024,1,7,Invierno
Magdalena,Solar,1523,2024-02-13,2,2024,1,7,Invierno
Cesar,Solar,1717,2024-02-13,2,2024,1,7,Invierno
Cesar,Solar,1329,2024-02-13,2,2024,1,7,Invierno
Magdalena,Solar,2277,2024-02-13,2,2024,1,7,Invierno
Cesar,Eólica,1074,2024-02-13,2,2024,1,7,Invierno
La Guajira,Solar,1929,2024-02-13,2,2024,1,7,Invierno
Magdalena,Eólica,964,2024-02-13,2,2024,1,7,Invierno
Cesar,Eólica,774,2024-02-13,2,2024,1,7,Invierno
Cesar,Eólica,115,2024-02-13,2,2024,1,7,Invierno
Cesar,Eólica,1770,2024-02-13,2,2024,1,7,Invierno
Cesar,Solar,864,2024-02-14,2,2024,1,7,Invierno
La Guajira,Solar,1547,2024-02-14,2,2024,1,7,Invierno
Atlántico,Solar,1133,2024-02-14,2,2024,1,7,Invierno
Magdalena,Solar,1891,2024-02-15,2,2024,1,7,Invierno
Magdalena,Eólica,1237,2024-02-15,2,2024,1,7,Invierno
La Guajira,Eólica,437,2024-02-15,2,2024,1,7,Invierno
Cesar,Eólica,2355,2024-02-16,2,2024,1,7,Invierno
La Guajira,Solar,100,2024-02-16,2,2024,1,7,Invierno
La Guajira,Solar,1874,2024-02-17,2,2024,1,7,Invierno
Magdalena,Eólica,1586,2024-02-17,2,2024,1,7,Invierno
Cesar,Solar,1593,2024-02-17,2,2024,1,7,Invierno
Cesar,Eólica,2133,2024-02-17,2,2024,1,7,Invierno
La Guajira,Eólica,938,2024-02-17,2,2024,1,7,Invierno
Cesar,Eólica,704,2024-02-17,2,2024,1,7,Invierno
Atlántico,Eólica,903,2024-02-17,2,2024,1,7,Invierno
Atlántico,Solar,1888,2024-02-17,2,2024,1,7,Invierno
Cesar,Solar,1915,2024-02-18,2,2024,1,7,Invierno
Magdalena,Eólica,1165,2024-02-18,2,2024,1,7,Invierno
Atlántico,Eólica,1283,2024-02-18,2,2024,1,7,Invierno
Atlántico,Solar,1878,2024-02-18,2,2024,1,7,Invierno
La Guajira,Solar,100,2024-02-18,2,2024,1,7,Invierno
Magdalena,Eólica,1005,2024-02-19,2,2024,1,8,Invierno
Atlántico,Solar,935,2024-02-20,2,2024,1,8,Invierno
Cesar,Solar,1310,2024-02-20,2,2024,1,8,Invierno
La Guajira,Solar,1083,2024-02-20,2,2024,1,8,Invierno
Magdalena,Solar,1128,2024-02-20,2,2024,1,8,Invierno
Magdalena,Eólica,1214,2024-02-20,2,2024,1,8,Invierno
Magdalena,Solar,1161,2024-02-20,2,2024,1,8,Invierno
Cesar,Solar,1131,2024-02-20,2,2024,1,8,Invierno
Atlántico,Eólica,1002,2024-02-20,2,2024,1,8,Invierno
Cesar,Solar,1732,2024-02-21,2,2024,1,8,Invierno
La Guajira,Solar,788,2024-02-21,2,2024,1,8,Invierno
La Guajira,Eólica,2129,2024-02-21,2,2024,1,8,Invierno
Magdalena,Eólica,1273,2024-02-22,2,2024,1,8,Invierno
Magdalena,Eólica,700,2024-02-22,2,2024,1,8,Invierno
Cesar,Solar,2839,2024-02-22,2,2024,1,8,Invierno
La Guajira,Eólica,1665,2024-02-22,2,2024,1,8,Invierno
La Guajira,Solar,513,2024-02-22,2,2024,1,8,Invierno
Atlántico,Eólica,1378,2024-02-23,2,2024,1,8,Invierno
Cesar,Eólica,966,2024-02-23,2,2024,1,8,Invierno
Cesar,Eólica,1611,2024-02-23,2,2024,1,8,Invierno
Atlántico,Eólica,1845,2024-02-23,2,2024,1,8,Invierno
La Guajira,Eólica,1497,2024-02-23,2,2024,1,8,Invierno
Magdalena,Solar,920,2024-02-23,2,2024,1,8,Invierno
Cesar,Solar,1143,2024-02-23,2,2024,1,8,Invierno
Cesar,Eólica,968,2024-02-24,2,2024,1,8,Invierno
Cesar,Eólica,1060,2024-02-24,2,2024,1,8,Invierno
Magdalena,Eólica,115,2024-02-24,2,2024,1,8,Invierno
La Guajira,Solar,1577,2024-02-24,2,2024,1,8,Invierno
Magdalena,Solar,583,2024-02-24,2,2024,1,8,Invierno
Atlántico,Solar,220,2024-02-24,2,2024,1,8,Invierno
La Guajira,Solar,935,2024-02-24,2,2024,1,8,Invierno
La Guajira,Eólica,2171,2024-02-24,2,2024,1,8,Invierno
Cesar,Eólica,1492,2024-02-25,2,2024,1,8,Invierno
Atlántico,Eólica,2157,2024-02-25,2,2024,1,8,Invierno
Magdalena,Solar,1765,2024-02-25,2,2024,1,8,Invierno
La Guajira,Solar,1867,2024-02-25,2,2024,1,8,Invierno
Magdalena,Eólica,535,2024-02-26,2,2024,1,9,Invierno
Magdalena,Solar,1415,2024-02-26,2,2024,1,9,Invierno
Atlántico,Eólica,743,2024-02-26,2,2024,1,9,Invierno
Cesar,Eólica,343,2024-02-26,2,2024,1,9,Invierno
La Guajira,Solar,117,2024-02-26,2,2024,1,9,Invierno
Atlántico,Solar,1458,2024-02-26,2,2024,1,9,Invierno
Cesar,Eólica,1303,2024-02-26,2,2024,1,9,Invierno
La Guajira,Solar,1347,2024-02-26,2,2024,1,9,Invierno
Magdalena,Eólica,973,2024-02-26,2,2024,1,9,Invierno
La Guajira,Solar,2256,2024-02-27,2,2024,1,9,Invierno
Cesar,Solar,1621,2024-02-27,2,2024,1,9,Invierno
Cesar,Solar,100,2024-02-27,2,2024,1,9,Invierno
La Guajira,Eólica,1375,2024-02-27,2,2024,1,9,Invierno
Atlántico,Eólica,2021,2024-02-27,2,2024,1,9,Invierno
Magdalena,Eólica,1463,2024-02-27,2,2024,1,9,Invierno
Atlántico,Solar,1600,2024-02-27,2,2024,1,9,Invierno
Magdalena,Solar,1068,2024-02-27,2,2024,1,9,Invierno
La Guajira,Eólica,2459,2024-02-28,2,2024,1,9,Invierno
Atlántico,Eólica,2280,2024-02-28,2,2024,1,9,Invierno
Cesar,Solar,805,2024-02-28,2,2024,1,9,Invierno
Atlántico,Solar,1558,2024-02-28,2,2024,1,9,Invierno
La Guajira,Solar,1093,2024-02-28,2,2024,1,9,Invierno
Atlántico,Eólica,1074,2024-02-28,2,2024,1,9,Invierno
Cesar,Solar,100,2024-02-29,2,2024,1,9,Invierno
